Ticker,Company,Sector,Industry,Country,Exchange,Currency,CurrentPrice,CurrentPriceUSD,CurrentDate,PreviousClose,DailyReturn,Date_1W,Price_1W,Price_1W_USD,Return_1W,Return_1W_USD,Date_1M,Price_1M,Price_1M_USD,Return_1M,Return_1M_USD,Date_3M,Price_3M,Price_3M_USD,Return_3M,Return_3M_USD,Date_6M,Price_6M,Price_6M_USD,Return_6M,Return_6M_USD,Date_YTD,Price_YTD,Price_YTD_USD,Return_YTD,Return_YTD_USD,Date_1Y,Price_1Y,Price_1Y_USD,Return_1Y,Return_1Y_USD,Date_3Y,Price_3Y,Price_3Y_USD,Return_3Y,Return_3Y_USD,Date_5Y,Price_5Y,Price_5Y_USD,Return_5Y,Return_5Y_USD,SMA20,SMA50,SMA200,EMA20,RSI14,PriceVsSMA50,PriceVsSMA200,FiftyTwoWeekHigh,FiftyTwoWeekLow,FiftyTwoWRangePosition,DistanceFrom52WHigh,Beta,Volatility30D,Volatility90D,MaxDrawdown1Y,ATR14,MarketCap,MarketCapUSD,EnterpriseValue,EnterpriseValue_USD,PE,ForwardPE,PEG,PriceToBook,PriceToSales,EVToRevenue,EVToEBITDA,FCFYield,RevenueGrowth,EarningsGrowth,QuarterlyEarningsGrowth,ProfitMargin,OperatingMargin,GrossMargin,ROE,ROA,DebtToEquity,CurrentRatio,FreeCashFlow,FreeCashFlow_USD,OperatingCashFlow,OperatingCashFlow_USD,DividendYield,DividendRate,DividendRate_USD,PayoutRatio,ExDividendDate,Volume,AvgVolume20D,VolumeRatio,NextEarningsDate,TargetMeanPrice,TargetMeanPrice_USD,TargetHighPrice,TargetHighPrice_USD,TargetLowPrice,TargetLowPrice_USD,AnalystCount,UpsideToTarget,MarketCap_USD
NVDA,NVIDIA Corporation,Technology,Semiconductors,United States,NMS,USD,227.97999572753906,227.97999572753906,2026-08-27,209.66000366210938,8.73795275466771,2026-08-20,216.85000610351562,216.85000610351562,5.132575195183731,5.132575195183731,2026-07-27,196.50999450683594,196.50999450683594,16.01445325958135,16.01445325958135,2026-05-27,212.35250854492188,212.35250854492188,7.359219483536861,7.359219483536861,2026-02-27,176.97415161132812,176.97415161132812,28.821069999098125,28.821069999098125,2025-12-31,186.27281188964844,186.27281188964844,22.39037646707065,22.39037646707065,2025-08-27,181.3584442138672,181.3584442138672,25.70685457507198,25.70685457507198,2023-08-25,45.92852783203125,45.92852783203125,396.3799331023678,396.3799331023678,2021-08-27,22.55797004699707,22.55797004699707,910.6405640780957,910.6405640780957,217.20750122070314,208.16199920654296,195.57134788513184,215.46617291263775,53.5041735543126,9.520467999220283,16.571265777358303,236.26463268418732,163.85179338392152,88.55916017559355,-3.506507454174168,2.215,43.36461906015755,42.39283292772378,-20.214385493927146,6.512856619698661,5253179637760.0,5253179637760.0,5470708826112.0,5470708826112.0,28.81457,14.213399,0.6279,26.95787,17.338943,18.057,27.181,0.7958965393734009,1.059,1.278,1.259,0.63663,0.66236997,0.74674004,1.17211,0.53572,16.971,4.589,41809874944.0,41809874944.0,134359998464.0,134359998464.0,0.44,1.0,1.0,0.0354,2026-09-10,298909800.0,125138775.0,2.388626546807734,2026-11-17,305.7931,305.7931,500.0,500.0,180.0,180.0,58.0,40.562215582624674,5253179637760.0
AAPL,Apple Inc.,Technology,Consumer Electronics,United States,NMS,USD,314.5799865722656,314.5799865722656,2026-08-27,313.45001220703125,0.3604958753321119,2026-08-20,311.29998779296875,311.29998779296875,1.053645649828372,1.053645649828372,2026-07-27,336.61968994140625,336.61968994140625,-6.547360130055669,-6.547360130055669,2026-05-27,310.5821533203125,310.5821533203125,1.2872063668867728,1.2872063668867728,2026-02-27,263.7093811035156,263.7093811035156,19.29040417746133,19.29040417746133,2025-12-31,271.12200927734375,271.12200927734375,16.028937455412052,16.028937455412052,2025-08-27,229.64170837402344,229.64170837402344,36.987304614500175,36.987304614500175,2023-08-25,176.2265167236328,176.2265167236328,78.5088830108386,78.5088830108386,2021-08-27,144.94015502929688,144.94015502929688,117.04129301412665,117.04129301412665,309.2414306640625,311.3311474609375,281.89763694763184,312.0476998696703,51.91627737332993,1.043531666466424,11.593694072258298,344.2730974331505,225.118417424808,75.08019755597854,-8.624871092824948,1.086,29.741922398257554,29.12715026598708,-13.798523953754415,6.084285191127232,4665759498240.0,4665759498240.0,4687704096768.0,4687704096768.0,36.704937,33.516766,2.5365,43.4375,9.994708,10.042,27.91,2.308774712812232,0.164,0.287,0.271,0.27618998,0.32623002,0.48653,1.4875101,0.27082002,78.445,1.003,107721875456.0,107721875456.0,146723995648.0,146723995648.0,0.34,1.08,1.08,0.1204,2026-08-10,32419200.0,47750310.0,0.6789317179302082,2026-10-29,324.45282,324.45282,400.0,400.0,215.0,215.0,39.0,1.4866499843603442,4665759498240.0
GOOGL,Alphabet Inc.,Communication Services,Internet Content & Information,United States,NMS,USD,340.6499938964844,340.6499938964844,2026-08-27,342.0,-0.39473862675895033,2026-08-20,340.6700134277344,340.6700134277344,-0.005876516999125947,-0.005876516999125947,2026-07-27,326.55999755859375,326.55999755859375,4.31467309016087,4.31467309016087,2026-05-27,388.5978698730469,388.5978698730469,-12.338687289311922,-12.338687289311922,2026-02-27,311.354736328125,311.354736328125,9.408964807744624,9.408964807744624,2025-12-31,312.5931091308594,312.5931091308594,8.975528873184357,8.975528873184357,2025-08-27,206.88978576660156,206.88978576660156,64.65288154959067,64.65288154959067,2023-08-25,128.7384490966797,128.7384490966797,164.60625888126387,164.60625888126387,2021-08-27,142.73831176757812,142.73831176757812,138.65351192549292,138.65351192549292,350.7484985351563,350.12159912109377,334.03967208862304,346.4784802800572,33.7306082066615,-2.705233052855305,1.9789032142587981,408.36608091552193,205.0649896678173,66.69172476967601,-16.58220165279738,1.237,40.07340619500741,37.5755640513896,-21.047203234359312,6.2085723876953125,4238773059584.0,4238773059584.0,4135135739904.0,4135135739904.0,17.390366,23.374542,0.9232,6.8097687,9.506832,9.274,23.88,0.5347066389589723,0.242,2.94,2.979,0.54771,0.34033,0.60897,0.48676,0.12958999,18.859,2.724,22665000960.0,22665000960.0,185675005952.0,185675005952.0,0.26,0.88,0.88,0.042600002,2026-09-04,23391400.0,25457455.0,0.9188428301257923,2026-10-28,428.06668,428.06668,515.0,515.0,340.0,340.0,54.0,23.50808736547507,4238773059584.0
KNM.L,KONAMI GROUP CORPORATION ORD JP,Communication Services,Electronic Gaming & Multimedia,United Kingdom,LSE,GBP,21940.408203125,29832.225787389558,2026-08-27,22160.0,-0.9909377115297824,2026-08-20,22160.0,30137.359924316406,-0.9909377115297824,-1.0124779930728134,2026-07-27,19480.0,26008.357481956482,12.630432254235103,14.702459807721112,2026-05-27,19790.0,26628.09361577034,10.86613543772108,12.032901107579065,2026-02-27,18699.9765625,25228.985362916254,17.328533165775184,18.245840481716492,2025-12-31,21177.091796875,28519.60759721324,3.604443960348891,4.602511397473008,2025-08-27,22792.05859375,30720.78618076211,-3.736610219396941,-2.8923751760265293,2023-08-25,7968.01708984375,10034.022234370525,175.3559380675882,197.310740305142,2021-08-27,6366.36474609375,8723.437592142436,244.63008448561027,241.97786677881075,21479.27041015625,19750.9083203125,20284.257939453124,21454.148559213012,64.51420904432376,11.085565520856289,8.164707176448616,25093.810546875,17280.0,59.643219849870185,-12.566454735359834,0.401,55.08520105920209,48.95177321041407,-31.138397782508463,220.32798549107142,3006642782208.0,4070236186185.0,2745563873280.0,3716801175928.125,26.673403,,2.0141,5.185843,5.7134767,5.217,13.899,2.4054196297602184,0.336,0.642,0.642,0.21426001,0.34952998,0.50447,0.21156,0.14449,9.489,3.963,72322375680.0,97906260200.09766,141487996928.0,191539070891.64062,1.02,224.0,303.23951721191406,0.2663,2026-09-29,4903.0,6972.1,0.7032314510692618,2026-10-29,,,,,,,,,4070236186185.0
MSFT,Microsoft Corporation,Technology,Software - Infrastructure,United States,NMS,USD,505.05999755859375,505.05999755859375,2026-08-27,496.3699951171875,1.7507106648045223,2026-08-20,481.1499938964844,481.1499938964844,4.9693451034841685,4.9693451034841685,2026-07-27,388.368896484375,388.368896484375,30.046458954499087,30.046458954499087,2026-05-27,411.8946228027344,411.8946228027344,22.61874023067263,22.61874023067263,2026-02-27,391.15484619140625,391.15484619140625,29.12021990172393,29.12021990172393,2025-12-31,480.5711364746094,480.5711364746094,5.095782752087574,5.095782752087574,2025-08-27,502.6047058105469,502.6047058105469,0.4885134818002346,0.4885134818002346,2023-08-25,315.5884094238281,315.5884094238281,60.03756236823943,60.03756236823943,2021-08-27,287.64947509765625,287.64947509765625,75.58175532464546,75.58175532464546,490.2642517089844,427.26673583984376,429.3400971984863,478.0293565220433,54.249022646464944,18.207188904101802,17.63634490563357,549.2013167264516,348.54386902384044,78.00165422552443,-8.037365866302892,1.099,51.78388440995225,41.286190688948835,-34.498397568158836,9.807623819436259,3813240733696.0,3813240733696.0,3865210257408.0,3865210257408.0,28.169502,21.78441,1.6402,8.621339,11.491237,11.648,19.899,0.4338960300563873,0.177,0.317,0.313,0.40305,0.45111,0.67944,0.34039003,0.14088,29.118,1.23,16545500160.0,16545500160.0,182934994944.0,182934994944.0,0.72,3.64,3.64,0.1983,2026-08-20,28688800.0,30083430.0,0.9536412569976229,2026-10-28,569.4537,569.4537,870.0,870.0,400.0,400.0,52.0,10.890055108757046,3813240733696.0
AMZN,"Amazon.com, Inc.",Consumer Cyclical,Internet Retail,United States,NMS,USD,256.260009765625,256.260009765625,2026-08-27,260.2799987792969,-1.544486334918349,2026-08-20,260.1099853515625,260.1099853515625,-1.4801337137188009,-1.4801337137188009,2026-07-27,231.38999938964844,231.38999938964844,10.74809215678194,10.74809215678194,2026-05-27,271.8500061035156,271.8500061035156,-5.734778733811852,-5.734778733811852,2026-02-27,210.0,210.0,22.028576078869055,22.028576078869055,2025-12-31,230.82000732421875,230.82000732421875,11.021575961425324,11.021575961425324,2025-08-27,229.1199951171875,229.1199951171875,11.845327874835299,11.845327874835299,2023-08-25,133.25999450683594,133.25999450683594,92.30078067613864,92.30078067613864,2021-08-27,167.48150634765625,167.48150634765625,53.00794419276558,53.00794419276558,267.14199981689455,251.08059967041015,238.58950004577636,260.41628689238485,29.800417502630538,2.0628475883894604,7.406239468400044,287.20001220703125,196.0,66.07456326741493,-10.772980893574202,1.454,54.02967981338635,38.93454290834207,-21.73622311569574,5.464999607631138,2873797378048.0,2873797378048.0,3002444546048.0,3002444546048.0,21.434431,25.641668,1.3642,5.2081866,3.7048748,3.871,17.775,0.11201642177663064,0.196,2.423,2.449,0.1744,0.13689,0.5077,0.30558002,0.06589,45.617,1.033,3219124992.0,3219124992.0,161402994688.0,161402994688.0,,,,0.0,,35927800.0,42214100.0,0.8510853008828804,2026-10-29,327.004,327.004,405.0,405.0,230.0,230.0,60.0,22.735427692076726,2873797378048.0
2330.TW,TAIWAN SEMICONDUCTOR MANUFACTUR,Technology,Semiconductors,Taiwan,TAI,TWD,2420.0,76.51447594165802,2026-08-28,2410.0,0.4149377593360981,2026-08-21,2410.0,75.69499656558037,0.4149377593360981,1.082607058932461,2026-07-28,2280.0,70.58386757969856,6.140350877192979,8.402215074518281,2026-05-28,2288.8935546875,72.74203657904582,5.727939818083838,5.186051339809339,2026-02-26,1983.2213134765625,63.42431981543632,22.023698694411962,20.639016964334544,2025-12-31,1540.8486328125,49.31725544275105,57.056309650792315,55.14747374877405,2025-08-28,1144.7410888671875,37.440426483038664,111.40151459006185,104.36325952729399,2023-08-28,522.3817138671875,16.42090072886367,363.2627704528093,365.95784972480516,2021-08-27,547.0370483398438,19.59540500056619,342.3832000673907,290.47152094813663,2389.25,2394.0,1983.6335943603515,2390.325400183952,56.666666666666664,1.0860484544695126,21.998337136469015,2535.0,1120.0699462890625,91.87238975535296,-4.536489151873768,1.258,39.72077108104824,37.226559752591086,-12.370107391357688,36.42857142857143,62756334075904.0,1984201658610.5,60348837134336.0,1908082498769.5,28.327286,17.026775,0.9039,9.756098,14.132742,13.591,19.053,1.1645454207635255,0.36,0.774,0.774,0.49923,0.60344005,0.6423,0.39969003,0.19002001,16.504,2.458,730826014720.0,23106929554.0625,2634679058432.0,83302102243.96094,1.16,28.0,0.8852914571762085,0.2573,2026-09-16,13601211.0,19363671.8,0.7024086723056316,2026-10-15,3229.3333,102.10361367373764,4200.0,132.79371857643127,2650.0,83.78651291131973,33.0,33.44352479338841,1984201658610.5
SPCX,Space Exploration Technologies ,Industrials,Aerospace & Defense,United States,NMS,USD,140.8699951171875,140.8699951171875,2026-08-27,139.6300048828125,0.8880542798918478,2026-08-20,134.0,134.0,5.126862027751855,5.126862027751855,2026-07-27,113.5,113.5,24.114533142896466,24.114533142896466,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,132.88199844360352,138.5677996826172,,135.52075583493894,56.53638344596201,1.6614216577324425,,225.63999938964844,104.83000183105469,29.831962597841414,-37.5686954891695,,89.86179045088856,,-48.781873808753,7.804284232003348,1865221931008.0,1865221931008.0,3670142615552.0,3670142615552.0,,88.355774,,14.6541,80.941765,159.267,622.375,,0.919,,,-0.35661998,-0.01804,0.51875,,,31.211,5.115,,,9900000256.0,9900000256.0,,,,0.0,,55268800.0,117418985.0,0.47069730674302795,2026-11-03,219.22221,219.22221,450.0,450.0,117.0,117.0,18.0,54.92735689045936,1865221931008.0
AVGO,Broadcom Inc.,Technology,Semiconductors,United States,NMS,USD,371.5400085449219,371.5400085449219,2026-08-27,355.5899963378906,4.485506445989884,2026-08-20,364.0299987792969,364.0299987792969,2.063019473891803,2.063019473891803,2026-07-27,383.2200012207031,383.2200012207031,-3.0478557065330536,-3.0478557065330536,2026-05-27,421.193359375,421.193359375,-11.788730692183202,-11.788730692183202,2026-02-27,318.377197265625,318.377197265625,16.698058697634256,16.698058697634256,2025-12-31,344.82977294921875,344.82977294921875,7.7459192015988165,7.7459192015988165,2025-08-27,298.0660400390625,298.0660400390625,24.650231370279684,24.650231370279684,2023-08-25,82.16411590576172,82.16411590576172,352.19254713464005,352.19254713464005,2021-08-27,45.1495246887207,45.1495246887207,722.9101216601299,722.9101216601299,392.0820007324219,386.5641833496094,368.4696160888672,381.1075539234697,22.866812361496386,-3.8865925638795207,0.8332823988706162,494.21781760890264,285.08119233248743,41.34082975574561,-24.82261964117639,1.473,42.020999023570226,50.64256179986983,-28.66598839678446,13.257860456194196,1754548011008.0,1754548011008.0,1799826964480.0,1799826964480.0,61.773872,18.905115,0.4176,20.01031,23.249825,23.85,42.767,1.5509549420859892,0.479,0.854,0.875,0.38848,0.48988,0.76284,0.37280998,0.121190004,74.018,2.238,27212249088.0,27212249088.0,33621999616.0,33621999616.0,0.7,2.6,2.6,0.41259998,2026-06-22,21330000.0,19604205.0,1.0880318788749659,2026-09-02,525.97394,525.97394,675.0,675.0,215.88,215.88,46.0,42.62152986794652,1754548011008.0
BC94.L,SAMSUNG ELECTRONICS CO LTD (ATT,Technology,Consumer Electronics,United Kingdom,LSE,GBP,4702.0,6393.277843952179,2026-08-27,4724.0,-0.46570702794241914,2026-08-20,4867.0,6619.067272186279,-3.3901787548798024,-3.411197060692839,2026-07-27,4068.0,5431.3140778541565,15.585054080629313,17.711436906592624,2026-05-27,5030.0,6768.029857873917,-6.520874751491057,-5.537091617374468,2026-02-27,3642.0,4913.587157964706,29.10488742449204,30.114265574570286,2025-12-31,2058.0,2771.549228668213,128.47424684159375,130.6752403248591,2025-08-27,1256.0,1692.9277048110962,274.3630573248407,277.6462412295135,2023-08-25,1259.40283203125,1585.9499140304397,273.35155046588994,303.1197824970827,2021-08-27,1606.080322265625,2200.7129685506516,192.7624437467175,190.50939106169182,4529.7259521484375,4580.608177490234,3558.3820443725585,4567.679228505887,62.72514561926611,2.650124564382139,32.138706338068125,6065.0,968.0700073242188,73.25841237845894,-22.473206924979394,1.548,949.4358572850524,549.3193807270242,-83.89234596798305,302.27730887276783,1249748320256.0,1691844094959.0625,-152095630032896.0,-205899131344720.0,11.739162,30.267176,0.1786,3.054821,0.002575356,-0.313,-0.67,5565.186558785622,1.3,13.559,13.444,0.30842,0.52182,0.57485,0.30794,0.17693001,3.868,2.83,69550825537536.0,94154280168270.0,196729332826112.0,266321910301840.0,,,,0.0,,668.0,5679.85,0.11760873966742079,2026-10-28,,,,,,,,,1691844094959.0625
