Ticker,Company,Country,Exchange,MarketCap,CurrentDate,CurrentPrice,Date_1M,Price_1M,Return_1M,Date_3M,Price_3M,Return_3M,Date_6M,Price_6M,Return_6M,Date_1Y,Price_1Y,Return_1Y,Date_2Y,Price_2Y,Return_2Y,Date_5Y,Price_5Y,Return_5Y,Currency,CurrentPriceUSD,Price_1M_USD,Price_3M_USD,Price_6M_USD,Price_1Y_USD,Price_2Y_USD,Price_5Y_USD,Return_1M_USD,Return_3M_USD,Return_6M_USD,Return_1Y_USD,Return_2Y_USD,Return_5Y_USD
005930.KS,SamsungElec,US,KSC,1566125330530304.0,2026-08-05,246000.0,2026-07-03,309500.0,-20.51696284329564,2026-05-04,232243.875,5.923137908373266,2026-02-05,158795.84375,54.915893382757375,2025-08-05,69033.6875,256.3477613737496,2024-08-05,68813.3359375,257.48884521952334,2021-08-05,74275.5234375,231.19928156009505,KRW,172.21704788971692,200.69644288741983,157.80331737804227,108.75608076757817,49.89461418074279,50.703546024069055,64.92274928262304,-14.190283887432109,9.133984475842372,58.351649557656216,245.1615985361911,239.6548395411343,165.2645641052848
402340.KS,SKSQUARE,US,KSC,134049234419712.0,2026-08-05,1119000.0,2026-07-03,1589000.0,-29.578351164254247,2026-05-04,989709.1875,13.063515437962936,2026-02-05,533304.4375,109.82386819160864,2025-08-05,143313.078125,680.8080146209616,2024-08-05,70308.3046875,1491.561629843914,,,,KRW,783.3775471081026,1030.393046035897,672.4801376442192,365.2494870695118,103.5805995457149,51.80507984433052,,-23.972939246640536,16.49080816756472,114.4773845935656,656.2975601066703,1412.1635744256737,
005380.KS,HyundaiMtr,US,KSC,104079044902912.0,2026-08-05,404500.0,2026-07-03,492000.0,-17.784552845528456,2026-05-04,537021.3125,-24.677104877471688,2026-02-05,484579.46875,-16.5255595654041,2025-08-05,204464.171875,97.83417128321764,2024-08-05,206759.578125,95.63785323427808,2021-08-05,180905.640625,123.59722925306107,KRW,283.17803199752234,319.0392565447837,364.8911929979222,331.8787355962213,147.77801011264546,152.34610620969852,158.1260017641216,-11.240379925542964,-22.393843032781866,-14.67424645667882,91.62393090938676,85.87808972796374,79.0837868777219
009150.KS,SamsungElecMech,US,KSC,94736249520128.0,2026-08-05,1356000.0,2026-07-03,1989000.0,-31.82503770739065,2026-05-04,918000.0,47.7124183006536,2026-02-05,290000.0,367.5862068965517,2025-08-05,154287.28125,778.8799627642671,2024-08-05,134988.125,904.5328061264648,2021-08-05,182601.84375,642.5992926207789,KRW,949.2939712945372,1289.7745554219,623.755719512701,198.61516950186342,111.5122869680763,99.46293862074526,159.608618986058,-26.398457210685766,52.190022728153515,377.95642884449006,751.2909178934702,854.4197913900568,494.7636019439898
373220.KS,LG Energy Solution,US,KSC,78039002120192.0,2026-08-05,335500.0,2026-07-03,362500.0,-7.448275862068964,2026-05-04,472000.0,-28.919491525423723,2026-02-05,395000.0,-15.063291139240508,2025-08-05,386500.0,-13.19534282018111,2024-08-05,322000.0,4.192546583850931,,,,KRW,234.87325027235784,235.06449288106523,320.71100175380707,270.52755845943466,279.3457669613417,237.25839762482792,,-0.08135750591824475,-26.76482908663743,-13.179547544108395,-15.92024005688204,-1.0052952293143624,
207940.KS,SAMSUNG BIOLOGICS,US,KSC,68649482190848.0,2026-08-05,1491000.0,2026-07-03,1421000.0,4.92610837438423,2026-05-04,1485000.0,0.4040404040404066,2026-02-05,1700000.0,-12.294117647058822,2025-08-05,1615950.25,-7.732307971733654,2024-08-05,1368407.0,8.958811230869168,2021-08-05,1387504.375,7.459120624394422,KRW,1043.803326843772,921.4528120937757,1009.0166050940752,1164.29582121782,1167.9401344311045,1008.2796649645898,1212.7898195489252,13.278001124331574,3.4475866476403105,-10.348958759296778,-10.628696105883773,3.523195311137206,-13.933699803648125
028260.KS,SAMSUNG C&T,US,KSC,54490510131200.0,2026-08-05,347500.0,2026-07-03,433500.0,-19.838523644752016,2026-05-04,320000.0,8.59375,2026-02-05,306000.0,13.56209150326797,2025-08-05,160706.953125,116.23208781122862,2024-08-05,130768.28125,165.73722364344374,2021-08-05,129923.4921875,167.46510130631566,KRW,243.27408187673427,281.10471079708077,217.4311876296997,209.5732478192076,116.15215285051363,96.35364245194978,113.56352562509528,-13.457842386588482,11.885550793682276,16.080694653641725,109.44431584477385,152.48042075633174,114.21850064768995
012450.KS,HANWHA AEROSPACE,US,KSC,53249495269376.0,2026-08-05,1007000.0,2026-07-03,1175000.0,-14.297872340425531,2026-05-04,1465000.0,-31.262798634812285,2026-02-05,1227000.0,-17.929910350448253,2025-08-05,953267.8125,5.636630839248014,2024-08-05,291047.34375,245.99181941511875,2021-08-05,55883.734375,1701.9554549498555,KRW,704.9697854672559,761.9331838213839,995.427155867219,840.3476309613325,688.981444249348,214.45163481704185,48.846854359198915,-7.4761671447928,-29.1791688309845,-16.109743218911486,2.3205764612902247,228.73136456557987,1343.2245325015383
329180.KS,HD HYUNDAI HEAVY INDUSTRIES,US,KSC,52991050645504.0,2026-08-05,509000.0,2026-07-03,577000.0,-11.785095320623917,2026-05-04,680000.0,-25.147058823529413,2026-02-05,546305.5625,-6.828699003041905,2025-08-05,460883.25,10.44011688426516,2024-08-05,182713.4375,178.57830653533625,,,,KRW,356.3352738856338,374.15782728930935,462.0412737131119,374.15369619223566,333.10681746671617,134.62825281296318,,-4.763378473944002,-22.87804268609831,-4.762326949577156,6.973275598371265,164.68090199512915,
000270.KS,KIA CORP.,US,KSC,51710684823552.0,2026-08-05,133000.0,2026-07-03,152000.0,-12.5,2026-05-04,154000.0,-13.636363636363637,2026-02-05,149631.296875,-11.114851787252478,2025-08-05,97135.8125,36.92169404564356,2024-08-05,86181.1875,54.32602387847116,2021-08-05,66873.484375,98.88301206826416,KRW,93.10921694850549,98.56497356668115,104.63875904679298,102.4794668676268,70.20563529683204,63.500653576567856,58.452775003152055,-5.535188029533355,-11.0184239600277,-9.143538901529325,32.62356583604187,46.62717894113673,59.28964355154156
